date,temperature,humidity,luminosity
2022-11-10 15:15:41.676,23.2,34.4,173
2022-11-10 15:15:40.398,23.2,34.5,173
2022-11-10 15:15:39.394,23.2,34.5,174
2022-11-10 15:15:38.116,23.2,34.5,173
2022-11-10 15:15:37.117,23.2,34.5,172
2022-11-10 15:15:35.839,23.2,34.6,173
2022-11-10 15:15:34.835,23.2,34.6,173
2022-11-10 15:15:33.561,23.2,34.6,173
2022-11-10 15:15:32.557,23.2,34.6,173
2022-11-10 15:15:31.280,23.2,34.6,173
2022-11-10 15:15:30.279,23.2,34.6,173
2022-11-10 15:15:29.001,23.2,34.6,173
2022-11-10 15:15:27.998,23.2,34.6,173
2022-11-10 15:15:26.720,23.2,34.6,173
2022-11-10 15:15:25.721,23.2,34.6,172
2022-11-10 15:15:24.443,23.2,34.7,172
2022-11-10 15:15:23.439,23.2,34.7,174
2022-11-10 15:15:22.165,23.2,34.7,173
2022-11-10 15:15:21.162,23.2,34.7,172
2022-11-10 15:15:19.884,23.2,34.7,173
2022-11-10 15:15:18.884,23.2,34.7,173
2022-11-10 15:15:17.605,23.2,34.6,172
2022-11-10 15:15:16.601,23.2,34.6,174
2022-11-10 15:15:15.324,23.2,34.6,176
2022-11-10 15:15:14.325,23.2,34.6,176
2022-11-10 15:15:13.046,23.2,34.6,176
2022-11-10 15:15:12.043,23.2,34.6,176
2022-11-10 15:15:10.769,23.2,34.5,175
2022-11-10 15:15:09.765,23.2,34.5,177
2022-11-10 15:15:08.487,23.2,34.5,176
2022-11-10 15:15:07.487,23.2,34.5,173
2022-11-10 15:15:06.209,23.2,34.5,172
2022-11-10 15:15:05.205,23.2,34.5,173
2022-11-10 15:15:03.932,23.2,34.5,173
2022-11-10 15:15:02.929,23.2,34.5,172
2022-11-10 15:15:01.649,23.2,34.5,172
2022-11-10 15:15:00.646,23.2,34.5,173
2022-11-10 15:14:59.372,23.2,34.5,172
2022-11-10 15:14:58.369,23.2,34.5,172
2022-11-10 15:14:57.090,23.2,34.5,173
2022-11-10 15:14:56.092,23.2,34.5,172
2022-11-10 15:14:54.812,23.2,34.5,171
2022-11-10 15:14:53.809,23.2,34.5,172
2022-11-10 15:14:52.535,23.2,34.5,173
2022-11-10 15:14:51.532,23.2,34.5,172
2022-11-10 15:14:50.254,23.2,34.5,172
2022-11-10 15:14:49.251,23.2,34.5,174
2022-11-10 15:14:47.975,23.2,34.5,175
2022-11-10 15:14:46.973,23.2,34.5,176
2022-11-10 15:14:45.695,23.2,34.5,176
2022-11-10 15:14:44.694,23.2,34.5,175
2022-11-10 15:14:43.417,23.2,34.5,175
2022-11-10 15:14:42.413,23.2,34.5,175
2022-11-10 15:14:41.139,23.2,34.5,176
2022-11-10 15:14:40.135,23.2,34.5,175
2022-11-10 15:14:38.857,23.2,34.5,175
2022-11-10 15:14:37.858,23.2,34.5,170
2022-11-10 15:14:36.580,23.2,34.5,170
2022-11-10 15:14:35.577,23.2,34.5,170
2022-11-10 15:14:34.299,23.2,34.5,170
2022-11-10 15:14:33.298,23.2,34.5,170
2022-11-10 15:14:32.020,23.2,34.5,176
2022-11-10 15:14:31.016,23.2,34.5,176
2022-11-10 15:14:29.742,23.2,34.5,176
2022-11-10 15:14:28.739,23.2,34.5,169
2022-11-10 15:14:27.461,23.2,34.5,168
2022-11-10 15:14:26.461,23.2,34.5,169
2022-11-10 15:14:25.183,23.2,34.5,168
2022-11-10 15:14:24.179,23.2,34.5,167
2022-11-10 15:14:22.902,23.2,34.5,168
2022-11-10 15:14:21.903,23.2,34.5,169
2022-11-10 15:14:20.624,23.2,34.5,167
2022-11-10 15:14:19.621,23.2,34.5,175
2022-11-10 15:14:18.347,23.2,34.5,177
2022-11-10 15:14:17.344,23.2,34.5,178
2022-11-10 15:14:16.064,23.2,34.5,172
2022-11-10 15:14:15.065,23.2,34.5,168
2022-11-10 15:14:13.787,23.2,34.5,166
2022-11-10 15:14:12.784,23.2,34.5,167
2022-11-10 15:14:11.509,23.2,34.5,167
2022-11-10 15:14:10.507,23.2,34.5,167
2022-11-10 15:14:09.227,23.2,34.5,167
2022-11-10 15:14:08.224,23.2,34.5,166
2022-11-10 15:14:06.950,23.2,34.5,167
2022-11-10 15:14:05.946,23.2,34.5,166
2022-11-10 15:14:04.668,23.2,34.4,166
2022-11-10 15:14:03.669,23.2,34.4,167
2022-11-10 15:14:02.390,23.2,34.5,167
2022-11-10 15:14:01.387,23.2,34.5,167
2022-11-10 15:14:00.113,23.2,34.5,167
2022-11-10 15:13:59.110,23.2,34.5,167
2022-11-10 15:13:57.831,23.2,34.5,165
2022-11-10 15:13:56.832,23.2,34.5,168
2022-11-10 15:13:55.554,23.2,34.4,172
2022-11-10 15:13:54.550,23.2,34.4,170
2022-11-10 15:13:53.272,23.2,34.4,170
2022-11-10 15:13:52.272,23.2,34.4,169
2022-11-10 15:13:50.994,23.2,34.4,171
2022-11-10 15:13:49.991,23.2,34.4,170
2022-11-10 15:13:48.717,23.1,34.4,171
2022-11-10 15:13:47.714,23.1,34.4,170
